method,doc_count,train_docs,eval_queries,anchor_count,proj_dim,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,ms_per_query,initial_loss,final_loss
cosine_relation,10000,8000,1000,256,0,10,10,0.6235999999999999,0.023,1.0,0.6117995999993582,2.9504098892211914,1.3519790172576904
cosine_relation,10000,8000,1000,256,0,10,25,0.8176,0.307,1.0,0.6117995999993582,2.9504098892211914,1.3519790172576904
cosine_relation,10000,8000,1000,256,0,10,50,0.9033,0.54,1.0,0.6117995999993582,2.9504098892211914,1.3519790172576904
cosine_relation,10000,8000,1000,256,0,10,100,0.9534,0.729,1.0,0.6117995999993582,2.9504098892211914,1.3519790172576904
cosine_relation,10000,8000,1000,256,0,10,250,0.9841000000000001,0.883,1.0,0.6117995999993582,2.9504098892211914,1.3519790172576904
contrastive_bilinear,10000,8000,1000,256,256,10,10,0.5931,0.026,0.996,0.6890907000015432,2.9504098892211914,1.3519790172576904
contrastive_bilinear,10000,8000,1000,256,256,10,25,0.7826000000000001,0.311,1.0,0.6890907000015432,2.9504098892211914,1.3519790172576904
contrastive_bilinear,10000,8000,1000,256,256,10,50,0.8683,0.499,1.0,0.6890907000015432,2.9504098892211914,1.3519790172576904
contrastive_bilinear,10000,8000,1000,256,256,10,100,0.9215000000000001,0.625,1.0,0.6890907000015432,2.9504098892211914,1.3519790172576904
contrastive_bilinear,10000,8000,1000,256,256,10,250,0.9672999999999999,0.802,1.0,0.6890907000015432,2.9504098892211914,1.3519790172576904
ridge_bilinear,10000,8000,1000,256,384,10,10,0.8314000000000001,0.132,1.0,0.6861740999993344,2.9504098892211914,1.3519790172576904
ridge_bilinear,10000,8000,1000,256,384,10,25,0.9846,0.878,1.0,0.6861740999993344,2.9504098892211914,1.3519790172576904
ridge_bilinear,10000,8000,1000,256,384,10,50,0.9975,0.978,1.0,0.6861740999993344,2.9504098892211914,1.3519790172576904
ridge_bilinear,10000,8000,1000,256,384,10,100,0.9995,0.995,1.0,0.6861740999993344,2.9504098892211914,1.3519790172576904
ridge_bilinear,10000,8000,1000,256,384,10,250,1.0,1.0,1.0,0.6861740999993344,2.9504098892211914,1.3519790172576904
