count,query_type,recall_at_10,system
6,dunder,0.43333333333333335,raw_hnsw_low_ef
21,error_handling,0.40476190476190477,raw_hnsw_low_ef
5,io,0.42000000000000004,raw_hnsw_low_ef
18,long,0.41111111111111115,raw_hnsw_low_ef
42,medium,0.42142857142857143,raw_hnsw_low_ef
1,short,0.3,raw_hnsw_low_ef
7,test_assert,0.4857142857142857,raw_hnsw_low_ef
6,dunder,0.5666666666666667,ridge_relation_pool25
21,error_handling,0.5333333333333334,ridge_relation_pool25
5,io,0.52,ridge_relation_pool25
18,long,0.5222222222222223,ridge_relation_pool25
42,medium,0.5571428571428572,ridge_relation_pool25
1,short,0.7,ridge_relation_pool25
7,test_assert,0.6142857142857142,ridge_relation_pool25
6,dunder,0.4166666666666667,ridge_relation_pool50
21,error_handling,0.41428571428571426,ridge_relation_pool50
5,io,0.4000000000000001,ridge_relation_pool50
18,long,0.41111111111111115,ridge_relation_pool50
42,medium,0.42619047619047623,ridge_relation_pool50
1,short,0.3,ridge_relation_pool50
7,test_assert,0.4857142857142857,ridge_relation_pool50
6,dunder,0.4833333333333334,bm25_dense_hybrid
21,error_handling,0.42857142857142855,bm25_dense_hybrid
5,io,0.44000000000000006,bm25_dense_hybrid
18,long,0.4277777777777778,bm25_dense_hybrid
42,medium,0.4833333333333333,bm25_dense_hybrid
1,short,0.4,bm25_dense_hybrid
7,test_assert,0.5428571428571428,bm25_dense_hybrid
6,dunder,0.2333333333333333,cluster_ivf_baseline
21,error_handling,0.29047619047619044,cluster_ivf_baseline
5,io,0.42000000000000004,cluster_ivf_baseline
18,long,0.30000000000000004,cluster_ivf_baseline
42,medium,0.36904761904761907,cluster_ivf_baseline
1,short,0.2,cluster_ivf_baseline
7,test_assert,0.37142857142857144,cluster_ivf_baseline
